source,target,year,month
Avery Inc,"Allen, Nichols and Thompson",2016,10
Berger-Hayes,"Jensen, Morris and Downs",2035,06
Bowers Group,Barnett Inc,2028,11
Bowman-Howe,Bennett Ltd,2024,09
Boyd and Sons,"Armstrong, Bennett and Deleon",2034,11
Brown-Johnson,Alexander-Wagner,2007,04
"Burke, Hernandez and Alexander",Becker-Mckinney,1982,01
"Cain, Rodriguez and Gonzales",Beck-Green,2032,05
"Choi, Ortiz and Goodwin","Barton, King and Hall",2026,06
Cochran Ltd,Crosby Ltd,2035,03
Collier-Jenkins,"Brown, Brown and Taylor",2032,03
"Collins, Thomas and Soto","Carroll, Lane and Lopez",2008,02
Copeland-Richmond,Cook-Fischer,2033,12
Cortez LLC,Barker Group,2027,05
Cortez LLC,Moon-Morales,2033,04
Costa de la Felicidad AS,Avery-Cohen,1996,11
Costa-Brown,Benson-Ray,2023,07
Craig-Garza,Campbell-Willis,2032,10
Cross-Patton,Black Group,2016,04
"Davis, Le and Vargas","Kramer, Harper and Velazquez",2035,12
"Davis, Medina and Anderson",Caldwell-Smith,2016,05
Davis-Rose,Wright LLC,2035,08
Duncan PLC,Burke-Olson,1999,04
Duncan-Velazquez,"Brewer, Williams and Burns",2028,05
"Elliott, Ho and Harper",Berry-Gonzalez,2008,11
"Estrada, Johnson and Mathews",Clark and Sons,2016,01
Evans-Pearson,"Davis, Maldonado and Howe",2010,01
Ferguson-Smith,Dixon Inc,2034,07
Fields-Young,"Barker, Rodriguez and Adkins",2023,03
"Fischer, Johnson and Orr",Cameron LLC,2033,02
Frank Group,Dunn-Jordan,1989,01
Franklin Group,Colon Ltd,2028,02
"Franklin, Perez and Brown",Austin-Stephens,2031,07
Frazier-Jackson,Bryant-Gonzalez,2033,07
French-Johnson,Bass Inc,2027,02
Frey-Diaz,Anderson-Burke,2033,01
"Friedman, Gibson and Garcia",Francis-Yoder,2027,12
"Gallegos, Brooks and Miller","Bowen, Diaz and Smith",2000,09
"Gallegos, Brooks and Miller",Tomanová Musil s.r.o.,2035,01
"Garcia, Lopez and Vaughan","Clarke, Sutton and Zavala",2034,10
"George, Holt and Romero","Estrada, Landry and Pena",1990,04
"Glass, Mercer and Hughes",Duran PLC,2023,10
"Gomez, Rodriguez and Alexander","Esparza, Ball and Smith",2009,10
"Gonzalez, Torres and Evans",Clayton-Merritt,2023,06
Gonzalez-Mitchell,"Franklin, Gray and Sutton",1987,08
"Goodwin, Farmer and Vaughn",Chapman and Sons,2034,12
Gordon and Sons,"Clarke, Scott and Sloan",2030,04
Gould PLC,Gonzalez LLC,2010,08
Green and Sons,Escobar LLC,2009,09
Green-Romero,"Clarke, Sutton and Zavala",2023,07
Hale-Miller,Dixon and Sons,2019,11
"Hall, Fleming and Thompson","Edwards, Fletcher and Foster",2031,11
Hamilton Ltd,"Brady, Sanchez and Stevenson",2023,02
Hamilton-Park,Carlson-Wang,2034,12
Hamilton-Park,Johnson-Gonzalez,2034,09
Hanson Inc,Schultz-Gonzalez,2035,05
Harrington Inc,Green-Higgins,2012,12
Hart-Bryant,Gibbs-Howard,2026,03
Hayden-Garcia,Andrade-Watson,2014,08
"Haynes, Jennings and Ballard",Estrada Inc,2029,10
Heath-Smith,"Clark, Green and Harrison",2012,02
Hebert Group,Gamble-Wright,2029,03
Hernandez-Griffin,Brooks-Fleming,2002,08
Hernandez-Rojas,"Velez, Yoder and Gill",2035,10
Higgins-Walker,Alvarado-Alvarez,2020,12
Hill PLC,"Clark, Johnson and Patrick",2017,01
"Hill, Silva and Miller",Hensley-Green,2005,01
Hill-Barker,"Henderson, Hall and Lutz",2021,04
"Horn, Davis and Martinez",Graham Ltd,2033,04
Howell LLC,"Friedman, Gibson and Garcia",2014,10
Hughes Ltd,"Adkins, Duncan and Thompson",2001,05
Hughes Ltd,Gibbs-Howard,2027,12
Hunter-Hendrix,Herman-Williams,2034,09
Jackson Inc,"Black, Mitchell and Hunt",2032,02
"Jackson, Mendez and Nguyen",Farley and Sons,2031,06
"James, Gonzalez and Harrison",Dillon PLC,2019,07
